dataset,zcp_metric,emb_style,test_loss,tau
winogrande,grad_norm,b1e,0.005453977035358548,0.9668202141376518
winogrande,fisher,b1e,0.005563411861658096,0.8159993022720963
piqa,grad_norm,b1e,0.004619921557605267,0.9755304695619728
openbookqa,plainact,b1e,0.009075193665921688,0.7601252225104425
piqa,fisher,b1e,0.004073060350492597,0.7355728835245122
piqa,snip,b1e,0.0018189976690337062,0.9979682364581979
winogrande,plainact,b1e,0.00897387508302927,0.8517782948697079
winogrande,grasp,b1e,0.01590390782803297,0.026449928062583516
piqa,snip,ble,0.001578996772877872,0.9979672077443347
rte,grad_norm,b1e,0.006368962349370122,0.9812905248061378
hellaswag,l2_norm,ble,0.0028346076142042875,0.9399010845271203
piqa,nwot,ble,0.00954305101186037,0.7886550782200566
rte,nwot,ble,0.0009213809971697628,0.9998103031276996
arc_easy,l2_norm,b1e,0.0025181754026561975,0.9289071547350177
arc_easy,l2_norm,ble,0.003090221667662263,0.9206006422058728
piqa,fisher,ble,0.004405229585245252,0.7225159666049603
hellaswag,l2_norm,b1e,0.0031906443182379007,0.9422861078466201
piqa,grad_norm,ble,0.0048733672592788935,0.9712537402918433
rte,grasp,ble,0.013846506364643574,0.0554013802562005
piqa,grasp,ble,nan,nan
rte,plainact,b1e,0.0059603729750961065,0.9015027248900909
hellaswag,grad_norm,b1e,0.00660326424986124,0.9722370746003841
wsc,fisher,ble,0.0011199513683095574,0.9533145430523654
hellaswag,grad_norm,ble,0.006780918221920729,0.9703380206237169
hellaswag,plainact,b1e,0.008721360471099615,0.8450850693293741
hellaswag,fisher,b1e,0.0043925023637712,0.7222811785512252
arc_easy,grasp,ble,nan,nan
arc_easy,nwot,b1e,0.011387232225388288,0.7834442464886068
hellaswag,fisher,ble,0.0046812540385872126,0.7623004624991804
wsc,fisher,b1e,0.001022035488858819,0.9512945811614641
hellaswag,nwot,b1e,0.01597358798608184,0.6383859243776552
rte,grasp,b1e,0.015359709039330482,0.08546925441905297
rte,snip,b1e,0.0008755602466408163,0.9988015786734924
wsc,grad_norm,b1e,0.0019626677967607975,0.991775864272322
hellaswag,snip,ble,0.0018003513105213642,0.9979985110809598
hellaswag,snip,b1e,0.002148252911865711,0.9982837869513291
hellaswag,grasp,b1e,nan,nan
arc_easy,plainact,ble,0.009000470396131277,0.8158809016637987
hellaswag,plainact,ble,0.009081398602575064,0.848136918438505
arc_easy,grasp,b1e,nan,nan
wsc,l2_norm,b1e,0.0011850615264847875,0.9741430972393458
rte,plainact,ble,0.006385616259649396,0.9012425935570918
wsc,grad_norm,ble,0.0014635133557021618,0.9929941712804341
wsc,grasp,b1e,0.019398313015699387,0.18865742703362962
wsc,l2_norm,ble,0.001343734678812325,0.9738945075564004
wsc,nwot,b1e,0.0060473899357020855,0.8251051598697567
hellaswag,nwot,ble,0.014010095037519932,0.6440407227076247
wsc,grasp,ble,0.023525506258010864,0.23064801418367334
rte,fisher,ble,0.0015103555051609874,0.9224449694841
rte,fisher,b1e,0.0011736679589375854,0.9315118620968444
record,nwot,ble,0.0017133040819317102,0.9999230045745908
rte,grad_norm,ble,0.0036347262794151902,0.9845152910447037
wsc,nwot,ble,0.007181043270975351,0.8193258800342029
rte,snip,ble,0.0010892989812418818,0.9988246111728079
openbookqa,l2_norm,b1e_seq,0,0.8643286180401205
wsc,snip,b1e,0.001051975996233523,0.9994889924011153
wsc,snip,ble,0.0005915666115470231,0.9989578738123277
wsc,plainact,b1e,0.0025316644459962845,0.9504237394945227
wsc,plainact,ble,0.003270429791882634,0.9473771261046622
wic,nwot,ble,0.00039087628829292953,0.9998311471714233
wic,l2_norm,ble,0.0009045560145750642,0.9783214417106766
wic,l2_norm,b1e,0.000936031574383378,0.9761722052178872
piqa,l2_norm,b1e_seq,0,0.8947177504077516
wic,grad_norm,ble,0.002363438834436238,0.9908725895804625
wic,fisher,b1e,0.0008435170748271048,0.9645076194780821
hellaswag,l2_norm,b1e_seq,0,0.8923181344818417
wic,fisher,ble,0.0009479130385443568,0.9615391387954574
wic,grad_norm,b1e,0.0025208728620782495,0.9908202980098273
wic,grasp,ble,0.013229378964751959,0.1357319529459458
wic,plainact,ble,0.011048872955143452,0.9324436542146727
arc_easy,snip,b1e,0.001906226621940732,0.9981124855145928
wic,grasp,b1e,0.010066335555166006,0.13118590187417817
wic,plainact,b1e,0.002958986209705472,0.9454692268692907
wic,snip,b1e,0.0006821534771006554,0.9992837515314524
wic,snip,ble,0.0012339308741502464,0.9988418175629028
arc_easy,snip,ble,0.001881243719253689,0.9981569188273098
arc_easy,nwot,ble,0.010436438024044037,0.7939592847466888
rte,l2_norm,b1e_seq,0,0.8628934470707819
arc_easy,grad_norm,b1e,0.005979887442663312,0.9551646137910825
hellaswag,grasp,ble,nan,nan
arc_easy,plainact,b1e,0.009321588557213545,0.8190342446622675
arc_easy,fisher,ble,0.004290389362722635,0.7656373115634137
record,plainact,b1e,0.0030855907825753093,0.913659462895068
record,fisher,b1e,0.003662467119283974,0.611576303958619
record,grad_norm,b1e,0.00670310971327126,0.9781910414899885
record,snip,b1e,0.0020744050852954388,0.998914070433191
copa,l2_norm,b1e_seq,0,0.8882576725514669
arc_easy,grad_norm,ble,0.00866325362585485,0.9360043736319948
copa,grasp,b1e_seq,0,nan
copa,grad_norm,b1e_seq,0,0.9000501841733953
arc_easy,fisher,b1e,0.004246121970936656,0.7810495453833406
record,grasp,b1e,nan,nan
copa,fisher,b1e_seq,0,0.8028137391392767
wsc,nwot,b1e_seq,0,0.7925562676830046
wsc,grad_norm,b1e_seq,0,0.979341846410067
wsc,l2_norm,b1e_seq,0,0.9334407554271532
record,snip,ble,0.0015583796775899827,0.998914012063045
winogrande,l2_norm,b1e_seq,0,0.8875285255345362
record,grad_norm,ble,0.00486402865499258,0.9793923883824398
openbookqa,nwot,b1e_seq,0,0.5567606001026733
copa,snip,b1e_seq,0,0.16682101779992325
record,fisher,ble,0.004009477095678449,0.5987685632780638
wic,l2_norm,b1e_seq,0,0.9463633801040945
record,grasp,ble,nan,nan
copa,plainact,b1e_seq,0,0.7823726904544047
copa,nwot,b1e_seq,0,0.706568004514981
wsc,snip,b1e_seq,0,0.7847495165527134
wsc,plainact,b1e_seq,0,0.9054451309866276
rte,fisher,b1e_seq,0,0.922105452927862
winogrande,nwot,b1e_seq,0,0.5893773045984321
openbookqa,snip,b1e_seq,0,0.08269517237335551
winogrande,fisher,b1e_seq,0,0.7949560899830204
openbookqa,plainact,b1e_seq,0,0.7195034052460653
arc_easy,l2_norm,b1e_seq,0,0.891593823121411
winogrande,grad_norm,b1e_seq,0,0.893823662375583
hellaswag,fisher,b1e_seq,0,nan
hellaswag,nwot,b1e_seq,0,0.6198932065726475
openbookqa,fisher,b1e_seq,0,0.7639341185739993
wsc,fisher,b1e_seq,0,0.9482452566838971
openbookqa,grad_norm,b1e_seq,0,0.8582762491909074
openbookqa,grasp,b1e_seq,0,nan
wsc,grasp,b1e_seq,0,nan
hellaswag,grasp,b1e_seq,0,nan
record,plainact,b1e_seq,0,0.8505429742385805
winogrande,plainact,b1e_seq,0,0.7921553845847441
hellaswag,snip,b1e_seq,0,0.2903422054276727
piqa,snip,b1e_seq,0,0.23721960618375948
piqa,fisher,b1e_seq,0,nan
piqa,plainact,b1e_seq,0,0.8116788138460617
piqa,nwot,b1e_seq,0,0.7609135801903824
hellaswag,grad_norm,b1e_seq,0,0.9001398572886831
winogrande,snip,b1e_seq,0,0.1765094254293038
rte,grasp,b1e_seq,0,nan
rte,snip,b1e_seq,0,0.5835180497642948
hellaswag,plainact,b1e_seq,0,0.8155254233465179
piqa,grasp,b1e_seq,0,nan
piqa,grad_norm,b1e_seq,0,0.9124715160296691
rte,grad_norm,b1e_seq,0,0.9593194080178574
rte,plainact,b1e_seq,0,0.8644797448821252
arc_easy,grad_norm,b1e_seq,0,0.8832663978532435
arc_easy,grasp,b1e_seq,0,nan
record,grad_norm,b1e_seq,0,0.9026703689923044
arc_easy,nwot,b1e_seq,0,0.760375093601559
wic,snip,b1e_seq,0,0.7433800260696267
arc_easy,plainact,b1e_seq,0,0.776961304920486
winogrande,grasp,b1e_seq,0,nan
arc_easy,snip,b1e_seq,0,0.2020176397297356
wic,plainact,b1e_seq,0,0.911220049270915
arc_easy,fisher,b1e_seq,0,0.7902495855116188
record,fisher,b1e_seq,0,nan
wic,grasp,b1e_seq,0,nan
wic,fisher,b1e_seq,0,0.9574976926330333
wic,grad_norm,b1e_seq,0,0.9768424150776192
